"CUSTOMER_ID","TRANSACTION_DATE","TICKER","SHARE_AMOUNT","TRADE_PRICE","TOTAL_TRADE_AMOUNT","ACCOUNT_TYPE_NAME","TRANSACTION_CATEGORY"
22074,"2024-05-10 00:00:00.000","SF2050",4.61,208.77,961.54,"401k","401k Contribution"
22075,"2024-05-10 00:00:00.000","SF2045",3.01,202.04,607.17,"401k","401k Contribution"
22076,"2024-05-10 00:00:00.000","SF2050",1.21,208.77,252.45,"401k","401k Contribution"
22077,"2024-05-10 00:00:00.000","SF2045",4.76,202.04,961.54,"401k","401k Contribution"
22078,"2024-05-10 00:00:00.000","SF2035",5.59,172.16,961.54,"401k","401k Contribution"
22079,"2024-05-10 00:00:00.000","SF2050",4.12,208.77,860.83,"401k","401k Contribution"
22080,"2024-05-10 00:00:00.000","SF2045",1.83,202.04,369.68,"401k","401k Contribution"
22081,"2024-05-10 00:00:00.000","SF2040",1.39,187.50,260.69,"401k","401k Contribution"
22082,"2024-05-10 00:00:00.000","SF2060",0.62,223.24,137.39,"401k","401k Contribution"
22083,"2024-05-10 00:00:00.000","SF2050",1.47,208.77,305.86,"401k","401k Contribution"
22084,"2024-05-10 00:00:00.000","SF2050",3.19,208.77,666.46,"401k","401k Contribution"
22087,"2024-05-10 00:00:00.000","SF2035",5.59,172.16,961.54,"401k","401k Contribution"
22089,"2024-05-10 00:00:00.000","SF2025",7.11,135.31,961.54,"401k","401k Contribution"
22091,"2024-05-10 00:00:00.000","SF2055",1.13,216.58,244.86,"401k","401k Contribution"
22093,"2024-05-10 00:00:00.000","SF2035",5.59,172.16,961.54,"401k","401k Contribution"
22094,"2024-05-10 00:00:00.000","SF2060",0.82,223.24,182.74,"401k","401k Contribution"
22096,"2024-05-10 00:00:00.000","SF2050",1.65,208.77,343.50,"401k","401k Contribution"
22097,"2024-05-10 00:00:00.000","SF2035",5.59,172.16,961.54,"401k","401k Contribution"
22098,"2024-05-10 00:00:00.000","SF2040",5.13,187.50,961.54,"401k","401k Contribution"
22099,"2024-05-10 00:00:00.000","SF2040",5.13,187.50,961.54,"401k","401k Contribution"
22100,"2024-05-10 00:00:00.000","SF2040",5.13,187.50,961.54,"401k","401k Contribution"
22101,"2024-05-10 00:00:00.000","SF2040",5.13,187.50,961.54,"401k","401k Contribution"
22102,"2024-05-10 00:00:00.000","SF2055",1.00,216.58,217.12,"401k","401k Contribution"
22105,"2024-05-10 00:00:00.000","SF2050",2.13,208.77,444.58,"401k","401k Contribution"
22106,"2024-05-10 00:00:00.000","SF2050",1.47,208.77,306.57,"401k","401k Contribution"
22107,"2024-05-10 00:00:00.000","SF2045",3.28,202.04,662.70,"401k","401k Contribution"
22108,"2024-05-10 00:00:00.000","SF2045",4.59,202.04,928.28,"401k","401k Contribution"
22109,"2024-05-10 00:00:00.000","SF2055",1.33,216.58,288.65,"401k","401k Contribution"
22110,"2024-05-10 00:00:00.000","SF2055",1.27,216.58,275.44,"401k","401k Contribution"
22111,"2024-05-10 00:00:00.000","SF2040",5.13,187.50,961.54,"401k","401k Contribution"
22112,"2024-05-10 00:00:00.000","SF2065",0.81,223.24,181.16,"401k","401k Contribution"
22113,"2024-05-10 00:00:00.000","SF2055",1.21,216.58,262.94,"401k","401k Contribution"
22115,"2024-05-10 00:00:00.000","SF2045",4.76,202.04,961.54,"401k","401k Contribution"
22116,"2024-05-10 00:00:00.000","SF2050",2.36,208.77,491.81,"401k","401k Contribution"
22118,"2024-05-10 00:00:00.000","SF2035",5.59,172.16,961.54,"401k","401k Contribution"
22119,"2024-05-10 00:00:00.000","SF2040",5.07,187.50,949.71,"401k","401k Contribution"
22120,"2024-05-10 00:00:00.000","SF2065",0.54,223.24,119.67,"401k","401k Contribution"
22121,"2024-05-10 00:00:00.000","SF2045",4.76,202.04,961.54,"401k","401k Contribution"
22122,"2024-05-10 00:00:00.000","SF2055",1.91,216.58,413.76,"401k","401k Contribution"
22123,"2024-05-10 00:00:00.000","SF2030",2.55,153.30,391.03,"401k","401k Contribution"
22124,"2024-05-10 00:00:00.000","SF2065",0.79,223.24,176.71,"401k","401k Contribution"
22125,"2024-05-10 00:00:00.000","SF2055",1.19,216.58,257.53,"401k","401k Contribution"
22127,"2024-05-10 00:00:00.000","SF2055",1.26,216.58,272.08,"401k","401k Contribution"
22128,"2024-05-10 00:00:00.000","SF2060",1.57,223.24,350.49,"401k","401k Contribution"
22130,"2024-05-10 00:00:00.000","SF2040",5.13,187.50,961.54,"401k","401k Contribution"
22131,"2024-05-10 00:00:00.000","SF2040",5.13,187.50,961.54,"401k","401k Contribution"
22133,"2024-05-10 00:00:00.000","SF2040",4.47,187.50,837.21,"401k","401k Contribution"
22135,"2024-05-10 00:00:00.000","SF2040",5.13,187.50,961.54,"401k","401k Contribution"
22136,"2024-05-10 00:00:00.000","SF2050",2.14,208.77,447.69,"401k","401k Contribution"
22137,"2024-05-10 00:00:00.000","SF2050",1.56,208.77,325.81,"401k","401k Contribution"
22138,"2024-05-10 00:00:00.000","SF2055",3.09,216.58,668.48,"401k","401k Contribution"
22139,"2024-05-10 00:00:00.000","SF2055",1.40,216.58,303.56,"401k","401k Contribution"
22140,"2024-05-10 00:00:00.000","SF2030",6.27,153.30,961.54,"401k","401k Contribution"
22143,"2024-05-10 00:00:00.000","SF2040",3.97,187.50,744.17,"401k","401k Contribution"
22144,"2024-05-10 00:00:00.000","SF2040",5.13,187.50,961.54,"401k","401k Contribution"
22145,"2024-05-10 00:00:00.000","SF2045",4.76,202.04,961.54,"401k","401k Contribution"
22146,"2024-05-10 00:00:00.000","SF2035",4.85,172.16,835.03,"401k","401k Contribution"
22147,"2024-05-10 00:00:00.000","SF2045",1.52,202.04,307.39,"401k","401k Contribution"
22148,"2024-05-10 00:00:00.000","SF2045",4.76,202.04,961.54,"401k","401k Contribution"
22150,"2024-05-10 00:00:00.000","SF2040",5.13,187.50,961.54,"401k","401k Contribution"
22151,"2024-05-10 00:00:00.000","SF2040",5.13,187.50,961.54,"401k","401k Contribution"
22152,"2024-05-10 00:00:00.000","SF2025",7.11,135.31,961.54,"401k","401k Contribution"
22153,"2024-05-10 00:00:00.000","SF2050",1.80,208.77,375.55,"401k","401k Contribution"
22154,"2024-05-10 00:00:00.000","SF2030",5.75,153.30,881.81,"401k","401k Contribution"
22155,"2024-05-10 00:00:00.000","SF2035",5.59,172.16,961.54,"401k","401k Contribution"
22156,"2024-05-10 00:00:00.000","SF2035",5.59,172.16,961.54,"401k","401k Contribution"
22157,"2024-05-10 00:00:00.000","SF2030",6.27,153.30,961.54,"401k","401k Contribution"
22158,"2024-05-10 00:00:00.000","SF2035",5.59,172.16,961.54,"401k","401k Contribution"
22159,"2024-05-10 00:00:00.000","SF2045",3.47,202.04,701.92,"401k","401k Contribution"
22160,"2024-05-10 00:00:00.000","SF2060",0.89,223.24,197.71,"401k","401k Contribution"
22161,"2024-05-10 00:00:00.000","SF2035",5.59,172.16,961.54,"401k","401k Contribution"
22162,"2024-05-10 00:00:00.000","SF2055",1.80,216.58,389.90,"401k","401k Contribution"
22163,"2024-05-10 00:00:00.000","SF2045",4.76,202.04,961.54,"401k","401k Contribution"
22164,"2024-05-10 00:00:00.000","SF2055",1.23,216.58,265.52,"401k","401k Contribution"
22165,"2024-05-10 00:00:00.000","SF2050",1.66,208.77,345.77,"401k","401k Contribution"
22167,"2024-05-10 00:00:00.000","SF2040",5.13,187.50,961.54,"401k","401k Contribution"
22169,"2024-05-10 00:00:00.000","SF2050",2.76,208.77,575.34,"401k","401k Contribution"
22171,"2024-05-10 00:00:00.000","SF2040",5.13,187.50,961.54,"401k","401k Contribution"
22172,"2024-05-10 00:00:00.000","SF2040",5.13,187.50,961.54,"401k","401k Contribution"
22173,"2024-05-10 00:00:00.000","SF2055",3.73,216.58,808.15,"401k","401k Contribution"
22175,"2024-05-10 00:00:00.000","SF2035",5.59,172.16,961.54,"401k","401k Contribution"
22178,"2024-05-10 00:00:00.000","SF2045",1.56,202.04,315.25,"401k","401k Contribution"
22179,"2024-05-10 00:00:00.000","SF2055",1.20,216.58,259.87,"401k","401k Contribution"
22180,"2024-05-10 00:00:00.000","SF2040",5.13,187.50,961.54,"401k","401k Contribution"
22181,"2024-05-10 00:00:00.000","SF2035",3.62,172.16,622.51,"401k","401k Contribution"
22182,"2024-05-10 00:00:00.000","SF2045",3.38,202.04,683.14,"401k","401k Contribution"
22183,"2024-05-10 00:00:00.000","SF2060",1.54,223.24,343.16,"401k","401k Contribution"
22184,"2024-05-10 00:00:00.000","SF2050",2.48,208.77,517.41,"401k","401k Contribution"
22187,"2024-05-10 00:00:00.000","SF2050",4.61,208.77,961.54,"401k","401k Contribution"
22190,"2024-05-10 00:00:00.000","SF2050",2.26,208.77,471.53,"401k","401k Contribution"
22191,"2024-05-10 00:00:00.000","SF2065",0.72,223.24,159.63,"401k","401k Contribution"
22192,"2024-05-10 00:00:00.000","SF2030",6.27,153.30,961.54,"401k","401k Contribution"
22193,"2024-05-10 00:00:00.000","SF2035",5.23,172.16,900.36,"401k","401k Contribution"
22194,"2024-05-10 00:00:00.000","SF2060",0.92,223.24,205.35,"401k","401k Contribution"
22195,"2024-05-10 00:00:00.000","SF2055",2.86,216.58,618.45,"401k","401k Contribution"
22196,"2024-05-10 00:00:00.000","SF2055",0.62,216.58,133.88,"401k","401k Contribution"
