"CUSTOMER_ID","ADVISOR_ID"
32669,1
49682,1
47558,1
11050,1
6018,1
30275,1
39349,1
10780,1
12442,1
23135,1
8731,1
24612,1
29885,1
35916,1
17037,1
66,1
25406,1
28999,1
22682,1
45186,1
1663,1
29903,1
20692,1
5629,1
46400,1
41485,1
9200,1
49366,1
46903,1
28269,1
22327,1
18546,1
34565,1
37160,1
15407,1
39101,1
14779,1
1732,1
40879,1
31860,1
48475,1
26995,1
26796,1
31369,1
48596,1
47352,1
40312,1
3763,1
45837,1
35875,1
44988,1
20471,1
27468,1
2568,1
49343,1
14052,1
28228,1
39893,1
37945,1
1648,1
46548,1
31941,1
21584,1
21701,1
16320,1
43913,1
19455,1
10959,1
42738,1
48914,1
27976,1
8000,1
39385,1
1954,1
1656,1
35396,2
33927,2
20524,2
3675,2
30987,2
10700,2
41999,2
46565,2
30260,2
11262,2
31321,2
29864,2
8831,2
19489,2
41155,2
41465,2
33167,2
15085,2
8449,2
10071,2
8411,2
32192,2
18354,2
19177,2
47948,2
21358,2
41347,2
40353,2
13247,2
2481,2
15711,2
37289,2
8915,2
20356,2
13005,2
349,2
34837,2
45135,2
29622,2
9148,2
38082,2
4312,2
48215,2
4784,2
40084,2
11921,2
35609,2
7776,2
42167,2
27609,2
19531,2
22266,2
32722,2
36617,2
47852,2
47566,2
16086,2
18874,2
45578,2
25005,2
27733,2
35593,2
26663,2
39264,2
6022,2
36520,2
20745,2
16623,2
23450,2
22092,2
36700,2
34989,2
44427,2
42352,2
27953,2
22452,3
36779,3
14278,3
10030,3
46429,3
21516,3
47406,3
39921,3
12162,3
33369,3
19351,3
14609,3
27310,3
14874,3
15474,3
32774,3
42131,3
7182,3
7989,3
24995,3
24563,3
32366,3
21955,3
28297,3
25520,3
27032,3
18370,3
44944,3
15513,3
38496,3
19506,3
8764,3
48558,3
9999,3
20093,3
24964,3
30022,3
15316,3
44973,3
42334,3
2651,3
6582,3
32608,3
6413,3
42326,3
42633,3
4053,3
20556,3
23338,3
29593,3
26473,3
1600,3
2471,3
33862,3
38303,3
11483,3
30507,3
41340,3
25320,3
42888,3
46887,3
19467,3
27244,3
21779,3
12325,3
9746,3
47782,3
33065,3
24835,3
14424,3
29251,3
49595,3
15207,3
32368,3
27832,3
4426,4
22888,4
32617,4
47101,4
22983,4
33711,4
10200,4
239,4
8576,4
47597,4
38984,4
8796,4
8514,4
9294,4
3278,4
10690,4
17747,4
25094,4
13188,4
10300,4
29144,4
3058,4
13781,4
5095,4
17367,4
189,4
30238,4
15633,4
22039,4
32645,4
2047,4
26288,4
19981,4
16700,4
32080,4
20809,4
3888,4
18568,4
18651,4
29088,4
1280,4
27003,4
34154,4
41554,4
45386,4
18563,4
26968,4
34912,4
4121,4
12672,4
49845,4
6057,4
2334,4
49223,4
48223,4
23131,4
19925,4
42467,4
38808,4
7330,4
28810,4
41996,4
8810,4
49576,4
26366,4
37537,4
44087,4
36028,4
2144,4
17793,4
2668,4
28042,4
25844,4
30942,4
14422,4
44773,5
49026,5
11879,5
13143,5
10548,5
36900,5
9837,5
40372,5
3933,5
12861,5
39690,5
21494,5
25581,5
32490,5
15424,5
45148,5
34806,5
12215,5
2923,5
36197,5
14325,5
7709,5
30180,5
34833,5
6061,5
184,5
13651,5
3821,5
41388,5
39879,5
44739,5
10042,5
35523,5
26138,5
40242,5
35409,5
43495,5
47007,5
10852,5
20255,5
1624,5
8578,5
8544,5
29767,5
40657,5
11716,5
477,5
17608,5
19987,5
40445,5
33188,5
27945,5
8651,5
41851,5
29096,5
9268,5
6530,5
21638,5
19872,5
47018,5
22259,5
3814,5
8944,5
35870,5
678,5
48408,5
20436,5
3003,5
14540,5
32508,5
21731,5
1840,5
31020,5
20438,5
8071,5
1990,6
33679,6
15601,6
5947,6
29044,6
1922,6
34897,6
16083,6
29754,6
16920,6
2418,6
34477,6
48285,6
2924,6
27576,6
24000,6
47138,6
30453,6
43961,6
14720,6
20892,6
32766,6
42685,6
46383,6
645,6
2452,6
18759,6
15751,6
30078,6
44972,6
15564,6
7142,6
43654,6
10515,6
11397,6
39604,6
31574,6
19901,6
24120,6
47403,6
44962,6
14759,6
44238,6
7851,6
12484,6
4561,6
29549,6
43767,6
44913,6
34684,6
10350,6
18402,6
2245,6
24867,6
6475,6
45906,6
37556,6
37153,6
49871,6
47190,6
24632,6
47086,6
17756,6
4273,6
42044,6
25021,6
16129,6
24508,6
6497,6
34923,6
15570,6
48376,6
26304,6
30583,6
32422,6
11217,7
212,7
48029,7
21870,7
35784,7
8740,7
9215,7
9548,7
20599,7
32757,7
22563,7
29951,7
29366,7
15616,7
7591,7
26875,7
34657,7
4811,7
41866,7
41653,7
9781,7
31946,7
23530,7
4852,7
2721,7
21445,7
20068,7
11738,7
35121,7
10002,7
28751,7
20943,7
38767,7
21235,7
37308,7
30345,7
39804,7
21043,7
37363,7
3170,7
27552,7
29871,7
12630,7
6220,7
8937,7
12490,7
14348,7
32569,7
26419,7
20835,7
3804,7
10520,7
15688,7
4965,7
15123,7
48086,7
47061,7
25853,7
40224,7
18122,7
23394,7
29819,7
17735,7
42036,7
30790,7
45825,7
40389,7
36474,7
35349,7
15387,7
25185,7
12347,7
3958,7
18855,7
29808,7
28646,8
26141,8
18223,8
8899,8
9047,8
30020,8
5930,8
34064,8
27133,8
20784,8
1599,8
10508,8
19817,8
25062,8
11958,8
23331,8
9389,8
29258,8
2990,8
16463,8
36291,8
4750,8
36162,8
6435,8
10451,8
6861,8
22054,8
47805,8
9029,8
19540,8
46294,8
30206,8
30686,8
19130,8
41850,8
49443,8
45317,8
41530,8
37986,8
18748,8
33407,8
38552,8
16856,8
22740,8
20127,8
2240,8
38311,8
14160,8
2686,8
37842,8
30127,8
42990,8
6867,8
41592,8
4666,8
22343,8
6461,8
31743,8
29245,8
47448,8
47167,8
497,8
32779,8
871,8
11890,8
41960,8
44728,8
24672,8
13274,8
27301,8
43238,8
31573,8
16904,8
6591,8
35789,8
727,9
31957,9
30439,9
39285,9
7373,9
24754,9
10526,9
28889,9
42516,9
33490,9
10478,9
17363,9
19063,9
49275,9
20397,9
11954,9
10388,9
28791,9
12180,9
13803,9
12788,9
22392,9
34835,9
35631,9
36773,9
21923,9
10190,9
5586,9
10490,9
46094,9
27900,9
21493,9
500,9
14937,9
31339,9
35995,9
43266,9
42503,9
16645,9
43717,9
44848,9
10117,9
15611,9
14872,9
12837,9
44008,9
41529,9
34948,9
34534,9
34473,9
29922,9
10973,9
19115,9
44157,9
18267,9
28633,9
26297,9
3037,9
9688,9
9123,9
42798,9
45971,9
17867,9
24838,9
5866,9
40057,9
29997,9
3381,9
2519,9
23885,9
39350,9
28326,9
16651,9
46597,9
6541,9
16070,10
48622,10
4082,10
13280,10
9109,10
9363,10
8061,10
35220,10
32112,10
41240,10
39235,10
26183,10
44490,10
46440,10
27893,10
48063,10
3590,10
37718,10
10189,10
42797,10
43863,10
29220,10
23143,10
17250,10
7777,10
