"CUSTOMER_ID","PORTFOLIO_ID","START_DATE","END_DATE","ACTIVE"
11,9,"2022-08-22","\N",true
13,3,"2024-08-21","\N",true
20,11,"2007-08-26","\N",true
26,1,"1999-09-02","\N",true
29,1,"2014-08-24","\N",true
31,1,"2023-08-22","\N",true
46,1,"2016-08-23","\N",true
50,10,"2018-08-23","\N",true
51,3,"2007-08-26","\N",true
54,2,"2023-08-22","\N",true
58,1,"2014-08-24","\N",true
60,5,"2015-08-24","\N",true
66,3,"2012-08-24","\N",true
75,11,"2014-08-24","\N",true
84,3,"2025-08-21","\N",true
88,2,"2017-10-20","\N",true
116,3,"2024-08-21","\N",true
125,0,"2005-08-26","\N",true
135,8,"2013-08-24","\N",true
141,6,"2021-08-22","\N",true
146,9,"2007-08-26","\N",true
148,3,"2023-10-05","\N",true
149,3,"2023-08-22","\N",true
155,1,"2023-08-22","\N",true
158,2,"1992-08-29","\N",true
178,3,"2008-09-03","\N",true
180,10,"2004-08-26","\N",true
184,1,"2017-11-12","\N",true
189,6,"2012-08-24","\N",true
210,5,"2022-08-22","\N",true
212,11,"2020-08-22","\N",true
219,2,"2012-08-24","\N",true
222,8,"2021-08-22","\N",true
225,8,"2018-08-23","\N",true
227,8,"2011-10-18","\N",true
233,14,"2006-08-26","\N",true
237,1,"2005-09-25","\N",true
239,6,"2023-08-22","\N",true
240,1,"2013-08-24","\N",true
248,1,"2024-08-21","\N",true
258,1,"2023-08-22","\N",true
269,4,"2019-08-23","\N",true
277,1,"2002-08-27","\N",true
279,2,"1986-08-31","\N",true
280,3,"2023-08-22","\N",true
282,10,"2020-08-22","\N",true
287,8,"2025-08-21","\N",true
296,13,"2016-08-23","\N",true
303,2,"2006-08-26","\N",true
312,1,"2021-08-22","\N",true
314,0,"1988-11-03","\N",true
321,2,"1999-08-28","\N",true
332,7,"2003-08-27","\N",true
336,1,"2002-08-27","\N",true
338,3,"2025-08-21","\N",true
339,1,"2024-08-21","\N",true
343,4,"2025-08-21","\N",true
344,0,"1999-08-28","\N",true
349,1,"2024-09-10","\N",true
351,8,"2025-08-21","\N",true
371,3,"2019-08-23","\N",true
378,5,"2024-08-21","\N",true
384,1,"2017-11-18","\N",true
388,11,"2012-08-24","\N",true
401,3,"2020-08-22","\N",true
406,8,"2000-08-27","\N",true
409,11,"2016-08-23","\N",true
415,13,"2010-08-25","\N",true
