"TRANSACTION_DATE","TRANSACTION_ID","TRANSACTION_PAYLOAD","UNLOAD_STATUS","UNLOAD_TIME"
"2025-02-25 00:00:00.000","7b05f7d66042253ffb99c02ace621afa","{""account_type"":""Brokerage"",""customer_id"":11336,""trades"":[{""action"":""Buy"",""shares"":7,""ticker"":""SCHF"",""total_trade_value"":139.83,""trade_price"":19.98},{""action"":""Buy"",""shares"":5,""ticker"":""BND"",""total_trade_value"":365.95,""trade_price"":73.19},{""action"":""Buy"",""shares"":1,""ticker"":""VTI"",""total_trade_value"":292.69,""trade_price"":292.69}],""transaction_category"":""Securities Trade"",""transaction_date"":""2025-02-25 00:00:00.000""}","\N","\N"
"2025-02-25 00:00:00.000","4abf1dfcc798df20c64865c2fe89f4b6","{""account_type"":""Brokerage"",""customer_id"":462,""trades"":[{""action"":""Buy"",""shares"":14,""ticker"":""IAU"",""total_trade_value"":770.49,""trade_price"":55.03},{""action"":""Buy"",""shares"":21,""ticker"":""IBIT"",""total_trade_value"":1042.96,""trade_price"":49.66},{""action"":""Buy"",""shares"":19,""ticker"":""SCHE"",""total_trade_value"":527.15,""trade_price"":27.74},{""action"":""Buy"",""shares"":1,""ticker"":""IWM"",""total_trade_value"":215.38,""trade_price"":215.38}],""transaction_category"":""Securities Trade"",""transaction_date"":""2025-02-25 00:00:00.000""}","\N","\N"
"2025-02-25 00:00:00.000","a785589c14d6926085af020f5f2129ed","{""account_type"":""Brokerage"",""customer_id"":4653,""trades"":[{""action"":""Buy"",""shares"":4,""ticker"":""BND"",""total_trade_value"":292.76,""trade_price"":73.19},{""action"":""Buy"",""shares"":4,""ticker"":""CAH"",""total_trade_value"":508.8,""trade_price"":127.2},{""action"":""Buy"",""shares"":3,""ticker"":""QCOM"",""total_trade_value"":484.15,""trade_price"":161.38}],""transaction_category"":""Securities Trade"",""transaction_date"":""2025-02-25 00:00:00.000""}","\N","\N"
"2025-02-25 00:00:00.000","fc84b874ca556734fbdec061ee6acf12","{""account_type"":""Brokerage"",""customer_id"":842,""trades"":[{""action"":""Buy"",""shares"":7,""ticker"":""BND"",""total_trade_value"":512.33,""trade_price"":73.19},{""action"":""Buy"",""shares"":1,""ticker"":""IWM"",""total_trade_value"":215.38,""trade_price"":215.38},{""action"":""Buy"",""shares"":2,""ticker"":""VTI"",""total_trade_value"":585.37,""trade_price"":292.69},{""action"":""Buy"",""shares"":4,""ticker"":""IAU"",""total_trade_value"":220.14,""trade_price"":55.03},{""action"":""Buy"",""shares"":33,""ticker"":""SCHF"",""total_trade_value"":659.18,""trade_price"":19.98}],""transaction_category"":""Securities Trade"",""transaction_date"":""2025-02-25 00:00:00.000""}","\N","\N"
"2025-02-25 00:00:00.000","1ef8df7dd59bb4d2f5a815cff7f957ae","{""account_type"":""Brokerage"",""customer_id"":46828,""trades"":[{""action"":""Buy"",""shares"":3,""ticker"":""ESGU"",""total_trade_value"":389.43,""trade_price"":129.81},{""action"":""Buy"",""shares"":5,""ticker"":""BND"",""total_trade_value"":365.95,""trade_price"":73.19},{""action"":""Buy"",""shares"":2,""ticker"":""VNQ"",""total_trade_value"":185.81,""trade_price"":92.91}],""transaction_category"":""Securities Trade"",""transaction_date"":""2025-02-25 00:00:00.000""}","\N","\N"
"2025-02-25 00:00:00.000","222d32595ada63c0e1694064ed135d3c","{""account_type"":""Brokerage"",""customer_id"":44003,""trades"":[{""action"":""Buy"",""shares"":5,""ticker"":""NVDA"",""total_trade_value"":636.67,""trade_price"":127.33}],""transaction_category"":""Securities Trade"",""transaction_date"":""2025-02-25 00:00:00.000""}","\N","\N"
"2025-02-25 00:00:00.000","f733172dd2aa24cb5f922b5b4d8fd896","{""account_type"":""Brokerage"",""customer_id"":14073,""trades"":[{""action"":""Buy"",""shares"":11,""ticker"":""BND"",""total_trade_value"":805.09,""trade_price"":73.19}],""transaction_category"":""Securities Trade"",""transaction_date"":""2025-02-25 00:00:00.000""}","\N","\N"
"2025-02-25 00:00:00.000","8c68bcfa85d255bae1580f21fbc13666","{""account_type"":""Brokerage"",""customer_id"":47587,""trades"":[{""action"":""Buy"",""shares"":6,""ticker"":""BND"",""total_trade_value"":439.14,""trade_price"":73.19},{""action"":""Buy"",""shares"":1,""ticker"":""IWM"",""total_trade_value"":215.38,""trade_price"":215.38},{""action"":""Buy"",""shares"":2,""ticker"":""VTI"",""total_trade_value"":585.37,""trade_price"":292.69},{""action"":""Buy"",""shares"":4,""ticker"":""IAU"",""total_trade_value"":220.14,""trade_price"":55.03},{""action"":""Buy"",""shares"":30,""ticker"":""SCHF"",""total_trade_value"":599.25,""trade_price"":19.98}],""transaction_category"":""Securities Trade"",""transaction_date"":""2025-02-25 00:00:00.000""}","\N","\N"
"2025-02-25 00:00:00.000","c80bbdcae37eccd3c1be3275a05b591e","{""account_type"":""Brokerage"",""customer_id"":40006,""trades"":[{""action"":""Buy"",""shares"":9,""ticker"":""RELX"",""total_trade_value"":446.45,""trade_price"":49.61},{""action"":""Buy"",""shares"":7,""ticker"":""COP"",""total_trade_value"":688.24,""trade_price"":98.32},{""action"":""Buy"",""shares"":5,""ticker"":""XOM"",""total_trade_value"":552.55,""trade_price"":110.51},{""action"":""Buy"",""shares"":5,""ticker"":""AAPL"",""total_trade_value"":1237.22,""trade_price"":247.44}],""transaction_category"":""Securities Trade"",""transaction_date"":""2025-02-25 00:00:00.000""}","\N","\N"
"2025-02-25 00:00:00.000","ebfb2ceeafe9102bae00d256badb7b58","{""account_type"":""Brokerage"",""customer_id"":29713,""trades"":[{""action"":""Buy"",""shares"":11,""ticker"":""BMY"",""total_trade_value"":649.61,""trade_price"":59.05},{""action"":""Buy"",""shares"":5,""ticker"":""BND"",""total_trade_value"":365.95,""trade_price"":73.19},{""action"":""Buy"",""shares"":7,""ticker"":""CTSH"",""total_trade_value"":591.39,""trade_price"":84.48}],""transaction_category"":""Securities Trade"",""transaction_date"":""2025-02-25 00:00:00.000""}","\N","\N"
